0,0,0,0,0,0,0,0,0,0,0,0
2147567704,2147531829,2147758364,2147490824,2147881334,2147525667,2147488773,2147500045,2147764489,2147529772,2147597416,2147757331
30483456,102867968,89228288,9452544,160483328,1252352,296812544,441623552,1053696,132264960,64060416,110107648
449028096,122046464,38808576,348161024,86290432,93408256,90218496,140655616,422792192,224256,749966336,77615104
35878912,161809408,45219840,404807680,763366400,170194944,263420928,7544832,379668480,203611136,18884608,523577344
423652352,84945920,1150976,144718848,181688320,128001024,73511936,867784854,28374016,23877809,207265906,26600448
83973120,140522496,365597913,33797120,349349888,144769024,402696192,188752896,1679507,72816640,30462976,75590656
16184320,119543808,524509184,95568896,341928960,85049344,7541760,13351029,158620672,477367296,289453056,63022080
310688768,945149952,57792512,320901120,159400960,52659200,175465472,127027200,326141952,359694336,81869824,49375232
400624640,48375808,6403072,110516224,57682944,90332160,135669760,27856008,114541568,129167360,46667919,112201728
10520576,531811328,22257664,63612039,327488512,81337467,240508928,66857083,268775424,90361856,30476288,153196544
11841536,53492736,9776128,24252416,84344832,38882304,256066560,190089216,305379328,99674112,22083584,117525504
870663168,72333445,146905088,141829120,418538496,25208832,179653632,79006720,841394176,486692864,72358912,644157440
436292608,526588928,27269120,116461568,119601152,59852800,16826368,479414272,292967424,6351872,147373222,38117376
404811776,83079168,114747392,91327488,306340864,122953728,122924032,275796992,3245056,56717312,65554613,4273152
162804736,105218048,271863808,4313088,5577728,34956288,649129984,145006592,202388480,162904064,650256384,224474112
1018179584,205604864,631369728,239300608,614898688,42219520,138434560,86152192,152247296,332439552,390224896,71303168
464699392,721783808,371484672,312641536,37639350,154473472,151359488,96696320,15861760,14756864,320364683,368087040
14951424,10956800,146895872,170772635,104971264,316694528,15806464,20988928,33592320,145874944,83684544,98711552
225538048,230776832,51652608,80833536,82899968,133193728,22081536,598207601,293306490,459534336,24187904,57796608
41159680,166737920,134246400,284166144,82919424,46304256,313678848,16865280,898921472,132452352,127985664,326218752
85056512,55809024,28891298,195080192,331366400,634425344,606297088,187939840,123929600,199482368,579195904,342286336
559470785,91979922,66173952,83067904,1625269,211874816,947983360,48484352,207793152,316063744,185669632,447258804
42727543,144973824,22610071,28382208,40946688,287393792,1063427072,19960832,188878848,214021120,125924352,33594368
245719040,169880576,65082368,291724288,145012736,168837120,112717000,209736704,486847488,325201920,203607040,1312768
22028288,340969472,554885120,470435966,170420397,582586528,234942464,300955648,66201600,31425703,61225984,71660544
208799744,260049920,99660800,446952448,339818496,419598336,113268736,63963136,238027776,598182912,1233920,263527424
